Team Name,Boston Fleet,Montreal Victoire,New York Sirens,Toronto Sceptres,Ottawa Charge,Vancouver Goldeneyes,Seattle Torrent,Minnesota Frost
Ice Erinyes,Zoe Boyd (D),Ann-Renée Desbiens (G),Kristin O’Neill (F),Ella Shelton (D),Emily Clark (F),Claire Thompson (D),Corinne Schroeder (G),Abby Hustler (F) R
Hoping for Points!,Jill Saulnier (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sarah Nurse (F),Carly Jackson (G),Kendall Cooper (D) R
Hockeytown,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Claire Thompson (D),Corinne Schroeder (G),Abby Hustler (F) R
High Voltage,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Mae Batherson (D)
Hellman's Bourbonnais,Abby Newhook (F) R,Marie-Philip Poulin (F),Jaime Bourbonnais (D),Ella Shelton (D),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Abby Hustler (F) R
Hell Yeahs,Rylind MacKinnon (D),Marie-Philip Poulin (F),Micah Zandee-Hart (D),Blayre Turnbull (F),Elizabeth Giguere (F),Sarah Nurse (F),Jenna Buglioni (F) R,Marlène Boissonnault (G)
HammyC41,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sarah Nurse (F),Carly Jackson (G),Mae Batherson (D)
Halifax rush,Zoe Boyd (D),Laura Stacey (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Jessie Eldridge (F),Kendall Cooper (D) R
HMG,Rylind MacKinnon (D),Catherine Dubois (F),Sarah Fillier (F),Daryl Watts (F),Jocelyne Larocque (D),Sophie Jaques (D),Carly Jackson (G),Kendall Cooper (D) R
Greatest Pucks Around,Zoe Boyd (D),Ann-Renée Desbiens (G),Micah Zandee-Hart (D),Daryl Watts (F),Emily Clark (F),Sophie Jaques (D),Danielle Serdachny (F),Abby Hustler (F) R
Gordie's Picks,Jill Saulnier (F),Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Emily Clark (F),Michela Cava (F),Danielle Serdachny (F),Mae Batherson (D)
Goofys,Jill Saulnier (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Jocelyne Larocque (D),Sophie Jaques (D),Danielle Serdachny (F),Abby Hustler (F) R
Goldeneyes 103row13,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Hannah Miller (F),Corinne Schroeder (G),Kendall Cooper (D) R
Golden Seals,Abby Newhook (F) R,Ann-Renée Desbiens (G),Sarah Fillier (F),Emma Maltais (F),Jocelyne Larocque (D),Emerance Maschmeyer (G),Lexie Adzija (F),Mae Batherson (D)
Golden Sceptres ,Jill Saulnier (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Nina Jobst-Smith (D) R,Jessie Eldridge (F),Mae Batherson (D)
Golden Girls,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Emma Maltais (F),Brooke Hobson (D),Sophie Jaques (D),Corinne Schroeder (G),Kendall Cooper (D) R
Go4Gold,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Jocelyne Larocque (D),Sarah Nurse (F),Carly Jackson (G),Kendall Cooper (D) R
Gibby’sGang,Loren Gabel (F),Marie-Philip Poulin (F),Sarah Fillier (F),Natalie Spooner (F),Sarah Wozniewicz (F) R,Emerance Maschmeyer (G),Megan Carter (D),Kendall Cooper (D) R
Gberg,Rylind MacKinnon (D),Marie-Philip Poulin (F),Maddi Wheeler (F) R,Sarah Coe (G),Alexa Vasko (F),Nina Jobst-Smith (D) R,Julia Gosling (F),Alyssa Machado (F)
GE,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Jocelyne Larocque (D),Emerance Maschmeyer (G),Jessie Eldridge (F),Kendall Cooper (D) R
Fury ,Abby Newhook (F) R,Marie-Philip Poulin (F),Kayle Osborne (G),Lauren Messier (F),Brooke Hobson (D),Sarah Nurse (F),Megan Carter (D),Mae Batherson (D)
Full Steam Ahead!,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Michela Cava (F),Carly Jackson (G),Abby Hustler (F) R
Frozen Assets,Jill Saulnier (F),Erin Ambrose (D),Sarah Fillier (F),Renata Fast (D),Jocelyne Larocque (D),Emerance Maschmeyer (G),Jenna Buglioni (F) R,Alyssa Machado (F)
Frostbit Backcheck Bettys,Jamie Lee Rattray (F),Erin Ambrose (D),Sarah Fillier (F),Ella Shelton (D),Brianne Jenner (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Abby Hustler (F) R
Frost,Sophie Shirley (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Logan Angers (G),Sarah Nurse (F),Jessie Eldridge (F),Cameron Slichk (D)
Freyja's Valkyries,Zoe Boyd (D),Marie-Philip Poulin (F),Dayle Ross (D) R,Natalie Spooner (F),Emily Clark (F),Emerance Maschmeyer (G),Julia Gosling (F),Alyssa Machado (F)
Frenchie16 ,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Jocelyne Larocque (D),Emerance Maschmeyer (G),Julia Gosling (F),Alyssa Machado (F)
Freeman,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Julia Gosling (F),Kendall Cooper (D) R
Free bird ,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Kendall Cooper (D) R
Franklin Fury,Abby Newhook (F) R,Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Abby Hustler (F) R
