Team Name,Boston Fleet,Montreal Victoire,New York Sirens,Toronto Sceptres,Ottawa Charge,Vancouver Goldeneyes,Seattle Torrent,Minnesota Frost
thepdub,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Jocelyne Larocque (D),Emerance Maschmeyer (G),Julia Gosling (F),Mae Batherson (D)
the mighty pucks,Abby Newhook (F) R,Marie-Philip Poulin (F),Kayla Vespa (F),Natalie Spooner (F),Jocelyne Larocque (D),Sarah Nurse (F),Megan Carter (D),Cameron Slichk (D)
monaghan,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Corinne Schroeder (G),Abby Hustler (F) R
killaJillaz,Jill Saulnier (F),Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Kendall Cooper (D) R
kacey77,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Corinne Schroeder (G),Abby Hustler (F) R
blulyner ,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Jocelyne Larocque (D),Emerance Maschmeyer (G),Julia Gosling (F),Abby Hustler (F) R
agent 007 ,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Abby Hustler (F) R
Ziggy's Zingers,Jamie Lee Rattray (F),Laura Stacey (F),Kristin O’Neill (F),Raygan Kirk (G),Emily Clark (F),Claire Thompson (D),Jenna Buglioni (F) R,Mae Batherson (D)
Zelion's,Jill Saulnier (F),Marie-Philip Poulin (F),Sarah Fillier (F),Elaine Chuli (G),Jocelyne Larocque (D),Sophie Jaques (D),Danielle Serdachny (F),Alyssa Machado (F)
Zamboni girl,Kaitlyn Ross (G),Marie-Philip Poulin (F),Sarah Fillier (F),Natalie Spooner (F),Jocelyne Larocque (D),Sarah Nurse (F),Megan Carter (D),Kendall Cooper (D) R
Winter Storm,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Maddi Wheeler (F) R,Renata Fast (D),Jocelyne Larocque (D),Hannah Miller (F),Jessie Eldridge (F),Kendall Cooper (D) R
Whitewood Stars,Loren Gabel (F),Laura Stacey (F),Kristin O’Neill (F),Natalie Spooner (F),Emily Clark (F),Sophie Jaques (D),Mikyla Grant-Mentis (F),Alyssa Machado (F)
Where Mama Keeps The Peanut Butter...,Jamie Lee Rattray (F),Erin Ambrose (D),Sarah Fillier (F),Raygan Kirk (G),Brianne Jenner (F),Sarah Nurse (F),Danielle Serdachny (F),Kendall Cooper (D) R
What the helly,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Micah Zandee-Hart (D),Natalie Spooner (F),Emily Clark (F),Sarah Nurse (F),Julia Gosling (F),Abby Hustler (F) R
Westcoast ,Sophie Shirley (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Brianne Jenner (F),Sophie Jaques (D),Jenna Buglioni (F) R,Kendall Cooper (D) R
West Coast Reign,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Mae Batherson (D)
We stand on Gardiner for thee,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Jocelyne Larocque (D),Jennifer Gardiner (F),Carly Jackson (G),Mae Batherson (D)
We Will Larocque You,Loren Gabel (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Abby Hustler (F) R
Watt’s Goin’ On,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Jocelyne Larocque (D),Hannah Miller (F),Corinne Schroeder (G),Abby Hustler (F) R
Warriors,Loren Gabel (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Ella Shelton (D),Brianne Jenner (F),Sarah Nurse (F),Danielle Serdachny (F),Kendall Cooper (D) R
Walters warriors,Jamie Lee Rattray (F),Laura Stacey (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Jessie Eldridge (F),Kendall Cooper (D) R
Walter Cup Contenders ,Loren Gabel (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Julia Gosling (F),Kendall Cooper (D) R
Vulcan,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Emma Maltais (F),Logan Angers (G),Claire Thompson (D),Megan Carter (D),Marlène Boissonnault (G)
Vixens ,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Jennifer Gardiner (F),Corinne Schroeder (G),Vanessa Upson (F)
Victoire ,Olivia Muhn (D),Marie-Philip Poulin (F),Maddi Wheeler (F) R,Blayre Turnbull (F),Emily Clark (F),Brianna Brooks (F) R,Carly Jackson (G),Mae Batherson (D)
Vichaptrey Sirstorfle,Jamie Lee Rattray (F),Laura Stacey (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Kendall Cooper (D) R
Vegas2006,Rylind MacKinnon (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Jocelyne Larocque (D),Sarah Nurse (F),Megan Carter (D),Kendall Cooper (D) R
Vegas Winners,Kaitlyn Ross (G),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Sarah Nurse (F),Danielle Serdachny (F),Kendall Cooper (D) R
Vanadium Valour,Abby Newhook (F) R,Ann-Renée Desbiens (G),Kristin O’Neill (F),Ella Shelton (D),Jocelyne Larocque (D),Jennifer Gardiner (F),Mikyla Grant-Mentis (F),Abby Hustler (F) R
V for Victory,Zoe Boyd (D),Marie-Philip Poulin (F),Kristin O’Neill (F),Daryl Watts (F),Emily Clark (F),Jennifer Gardiner (F),Danielle Serdachny (F),Kendall Cooper (D) R
Ultimate,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Blayre Turnbull (F),Emily Clark (F),Sarah Nurse (F),Jessie Eldridge (F),Abby Hustler (F) R
Two Rooks Are Better Than One Knight,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Hannah Miller (F),Jessie Eldridge (F),Abby Hustler (F) R
True North,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Anne Cherkowski (F) R,Allie Munroe (D),Brooke Hobson (D),Hannah Miller (F),Jessie Eldridge (F),Alyssa Machado (F)
Triggersgals,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Anne Cherkowski (F) R,Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Mae Batherson (D)
Trash Pandas ,Abby Newhook (F) R,Marie-Philip Poulin (F),Maddi Wheeler (F) R,Natalie Spooner (F),Emily Clark (F),Sarah Nurse (F),Julia Gosling (F),Abby Hustler (F) R
Toronto sixes,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Dayle Ross (D) R,Renata Fast (D),Emily Clark (F),Kristen Campbell (G),Jessie Eldridge (F),Abby Hustler (F) R
Toronto sceptres ,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Julia Gosling (F),Vanessa Upson (F)
Toronto Schecters,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Sarah Nurse (F),Julia Gosling (F),Kendall Cooper (D) R
Toronto Paws,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Olivia Knowles (D),Blayre Turnbull (F),Jocelyne Larocque (D),Emerance Maschmeyer (G),Julia Gosling (F),Kendall Cooper (D) R
Toronto ,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Jaime Bourbonnais (D),Natalie Spooner (F),Brianne Jenner (F),Sarah Nurse (F),Megan Carter (D),Cameron Slichk (D)
Top shelf,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Abby Hustler (F) R
Top Shelf Terrors,Jamie Lee Rattray (F),Nicole Gosling (D),Olivia Knowles (D),Natalie Spooner (F),Brianne Jenner (F),Kristen Campbell (G),Lexie Adzija (F),Abby Hustler (F) R
Top Shelf,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Vanessa Upson (F)
Tobermory Tempest,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Kendall Cooper (D) R
Tobermory Blue,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Jocelyne Larocque (D),Emerance Maschmeyer (G),Danielle Serdachny (F),Abby Hustler (F) R
Thunders,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Vanessa Upson (F)
Thunderbolts ,Abby Newhook (F) R,Marie-Philip Poulin (F),Kristin O’Neill (F),Maggie Connors (F),Emily Clark (F),Sarah Nurse (F),Corinne Schroeder (G),Kendall Cooper (D) R
Thresher ,Kelly Babstock (F),Marie-Philip Poulin (F),Kristin O’Neill (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Megan Carter (D),Abby Hustler (F) R
They’re Grrrrrrr8,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Ella Shelton (D),Emily Clark (F),Jennifer Gardiner (F),Mikyla Grant-Mentis (F),Kendall Cooper (D) R
They Hustle Fast,Jill Saulnier (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Jocelyne Larocque (D),Jennifer Gardiner (F),Jessie Eldridge (F),Abby Hustler (F) R
Thelma and Louise strike back,Zoe Boyd (D),Marie-Philip Poulin (F),Anne Cherkowski (F) R,Renata Fast (D),Rebecca Leslie (F),Sarah Nurse (F),Corinne Schroeder (G),Abby Hustler (F) R
The_Vibe_Raiders,Zoe Boyd (D),Laura Stacey (F),Sarah Fillier (F),Ella Shelton (D),Alexa Vasko (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Abby Hustler (F) R
The blue sharks ,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Jennifer Gardiner (F),Julia Gosling (F),Abby Hustler (F) R
The Zamboni Zippers,Zoe Boyd (D),Laura Stacey (F),Anne Cherkowski (F) R,Emma Maltais (F),Jocelyne Larocque (D),Emerance Maschmeyer (G),Jessie Eldridge (F),Alyssa Machado (F)
The Wave ,Rylind MacKinnon (D),Marie-Philip Poulin (F),Kristin O’Neill (F),Renata Fast (D),Emily Clark (F),Jennifer Gardiner (F),Jessie Eldridge (F),Mae Batherson (D)
The Stegs,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Lauren Messier (F),Stephanie Markowski (D),Sarah Nurse (F),Marah Wagner (F),Marlène Boissonnault (G)
The Redo ,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Jessie Eldridge (F),Abby Hustler (F) R
The Ratt(ray) Pack,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Jessie Eldridge (F),Kendall Cooper (D) R
The Power of Friendship,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Kendall Cooper (D) R
The Muskies,Abby Newhook (F) R,Laura Stacey (F),Sarah Fillier (F),Renata Fast (D),Sarah Wozniewicz (F) R,Sarah Nurse (F),Danielle Serdachny (F),Marlène Boissonnault (G)
The Maple Wolves,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Jenna Buglioni (F) R,Kendall Cooper (D) R
The M and M's,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Sarah Nurse (F),Carly Jackson (G),Mae Batherson (D)
The Kitchener Waterloos,Jill Saulnier (F),Nicole Gosling (D),Sarah Fillier (F),Elaine Chuli (G),Jocelyne Larocque (D),Sarah Nurse (F),Mikyla Grant-Mentis (F),Marlène Boissonnault (G)
The Jbest team,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Samantha Isbell (D),Emerance Maschmeyer (G),Danielle Serdachny (F),Kendall Cooper (D) R
The Jailbreakers,Zoe Boyd (D),Katie Tabin (D),Maddi Wheeler (F) R,Emma Maltais (F),Emily Clark (F),Emerance Maschmeyer (G),Lexie Adzija (F),Kendall Cooper (D) R
The Ice Alchemists,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Corinne Schroeder (G),Mae Batherson (D)
The Hosettes,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Emerance Maschmeyer (G),Jessie Eldridge (F),Abby Hustler (F) R
The Gundersons,Sophie Shirley (F),Nicole Gosling (D),Sarah Fillier (F),Raygan Kirk (G),Sarah Wozniewicz (F) R,Sarah Nurse (F),Mikyla Grant-Mentis (F),Mae Batherson (D)
The Goldberg’s,Kaitlyn Ross (G),Erin Ambrose (D),Micah Zandee-Hart (D),Blayre Turnbull (F),Brianne Jenner (F),Brooke McQuigge (F),Jenna Buglioni (F) R,Kendall Cooper (D) R
The Frozen Force,Zoe Boyd (D),Laura Stacey (F),Sarah Fillier (F),Natalie Spooner (F),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Mae Batherson (D)
The Fossils,Jamie Lee Rattray (F),Laura Stacey (F),Sarah Fillier (F),Renata Fast (D),Jocelyne Larocque (D),Emerance Maschmeyer (G),Danielle Serdachny (F),Kendall Cooper (D) R
The Finger Crossers,Rylind MacKinnon (D),Marie-Philip Poulin (F),Micah Zandee-Hart (D),Emma Maltais (F),Emily Clark (F),Emerance Maschmeyer (G),Julia Gosling (F),Mae Batherson (D)
The Eh-Team,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Elaine Chuli (G),Emily Clark (F),Brianna Brooks (F) R,Megan Carter (D),Mae Batherson (D)
The Clements,Zoe Boyd (D),Laura Stacey (F),Maddi Wheeler (F) R,Renata Fast (D),Brianne Jenner (F),Ashton Bell (D),Carly Jackson (G),Abby Hustler (F) R
The Clams,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Danielle Serdachny (F),Marlène Boissonnault (G)
The Canadian Rockies,Olivia Muhn (D),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Hannah Miller (F),Corinne Schroeder (G),Kendall Cooper (D) R
The Budgies,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Sarah Nurse (F),Julia Gosling (F),Abby Hustler (F) R
The Beaver Tails,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Emma Maltais (F),Jocelyne Larocque (D),Brianna Brooks (F) R,Corinne Schroeder (G),Marlène Boissonnault (G)
The Beans,Abby Newhook (F) R,Katie Tabin (D),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Claire Thompson (D),Carly Jackson (G),Mae Batherson (D)
The Backup Plan,Jamie Lee Rattray (F),Laura Stacey (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Jessie Eldridge (F),Abby Hustler (F) R
The B Team,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Brianne Jenner (F),Ashton Bell (D),Mikyla Grant-Mentis (F),Mae Batherson (D)
The Avengers,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Mae Batherson (D)
The ABCs (Always Boo Curl),Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Corinne Schroeder (G),Kendall Cooper (D) R
That don’t impress me much,Jamie Lee Rattray (F),Nicole Gosling (D),Kristin O’Neill (F),Daryl Watts (F),Emily Clark (F),Hannah Miller (F),Olivia Wallin (F) R,Kendall Cooper (D) R
That B,Jill Saulnier (F),Laura Stacey (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Jennifer Gardiner (F),Jessie Eldridge (F),Kendall Cooper (D) R
Tempos,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Kristin O’Neill (F),Natalie Spooner (F),Emily Clark (F),Jennifer Gardiner (F),Carly Jackson (G),Abby Hustler (F) R
Teem dancing Puppies,Loren Gabel (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Sarah Nurse (F),Julia Gosling (F),Kendall Cooper (D) R
Team clutch,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Jaime Bourbonnais (D),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Julia Gosling (F),Abby Hustler (F) R
Team KD,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Jessie Eldridge (F),Abby Hustler (F) R
Team Dax ,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Jocelyne Larocque (D),Emerance Maschmeyer (G),Lexie Adzija (F),Kendall Cooper (D) R
Team ,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Jenna Buglioni (F) R,Mae Batherson (D)
TallGiraffe,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Emily Clark (F),Michela Cava (F),Jessie Eldridge (F),Kendall Cooper (D) R
TO Girl Who Loves The PWHL,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Megan Carter (D),Mae Batherson (D)
TNT,Abby Newhook (F) R,Erin Ambrose (D),Kayla Vespa (F),Natalie Spooner (F),Jocelyne Larocque (D),Sarah Nurse (F),Carly Jackson (G),Vanessa Upson (F)
Surfsiders,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Abby Hustler (F) R
Stratford PWHL fan,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Mae Batherson (D)
Sticky sisters ,Olivia Muhn (D),Marie-Philip Poulin (F),Sarah Fillier (F),Natalie Spooner (F),Jocelyne Larocque (D),Sarah Nurse (F),Hannah Murphy (G) R,Marlène Boissonnault (G)
Stick Magnets,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Kristin O’Neill (F),Ella Shelton (D),Jocelyne Larocque (D),Emerance Maschmeyer (G),Danielle Serdachny (F),Abby Hustler (F) R
Stephanie's Scepters,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Natalie Spooner (F),Emily Clark (F),Emerance Maschmeyer (G),Julia Gosling (F),Kendall Cooper (D) R
Steph22,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Ella Shelton (D),Emily Clark (F),Claire Thompson (D),Jessie Eldridge (F),Abby Hustler (F) R
Stay Golden,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Natalie Spooner (F),Jocelyne Larocque (D),Jennifer Gardiner (F),Corinne Schroeder (G),Kendall Cooper (D) R
Starfizzles,Zoe Boyd (D),Erin Ambrose (D),Sarah Fillier (F),Emma Maltais (F),Emily Clark (F),Emerance Maschmeyer (G),Olivia Wallin (F) R,Abby Hustler (F) R
Stardust,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Corinne Schroeder (G),Abby Hustler (F) R
Star studded ,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Kayle Osborne (G),Renata Fast (D),Emily Clark (F),Jennifer Gardiner (F),Danielle Serdachny (F),Kendall Cooper (D) R
Squidz_14,Jamie Lee Rattray (F),Laura Stacey (F),Sarah Fillier (F),Elaine Chuli (G),Emily Clark (F),Charneat Bassi (F) R,Olivia Wallin (F) R,Abby Hustler (F) R
Spoonerisms,Jamie Lee Rattray (F),Laura Stacey (F),Maddi Wheeler (F) R,Renata Fast (D),Sarah Wozniewicz (F) R,Sarah Nurse (F),Corinne Schroeder (G),Kendall Cooper (D) R
Spooner or Later,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Sophie Jaques (D),Corinne Schroeder (G),Vanessa Upson (F)
Spooner Shooters ,Sophie Shirley (F),Marie-Philip Poulin (F),Sarah Fillier (F),Natalie Spooner (F),Jocelyne Larocque (D),Emerance Maschmeyer (G),Danielle Serdachny (F),Kendall Cooper (D) R
Spooks,Abby Newhook (F) R,Ann-Renée Desbiens (G),Sarah Fillier (F),Emma Maltais (F),Brianne Jenner (F),Sophie Jaques (D),Danielle Serdachny (F),Abby Hustler (F) R
Sparkle Balls,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Sarah Wozniewicz (F) R,Emerance Maschmeyer (G),Mikyla Grant-Mentis (F),Mae Batherson (D)
Snipers,Zoe Boyd (D),Marie-Philip Poulin (F),Kristin O’Neill (F),Renata Fast (D),Jocelyne Larocque (D),Sarah Nurse (F),Carly Jackson (G),Marlène Boissonnault (G)
Slushverte,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Claire Thompson (D),Hannah Murphy (G) R,Kendall Cooper (D) R
SlipperySkaters,Sophie Shirley (F),Marie-Philip Poulin (F),Anne Cherkowski (F) R,Elaine Chuli (G),Samantha Isbell (D),Sarah Nurse (F),Julia Gosling (F),Kendall Cooper (D) R
Sky Skaters,Rylind MacKinnon (D),Ann-Renée Desbiens (G),Olivia Knowles (D),Natalie Spooner (F),Sarah Wozniewicz (F) R,Jennifer Gardiner (F),Jessie Eldridge (F),Abby Hustler (F) R
Sirens,Jill Saulnier (F),Nicole Gosling (D),Sarah Fillier (F),Ella Shelton (D),Brooke Hobson (D),Emerance Maschmeyer (G),Corinne Schroeder (G),Abby Hustler (F) R
Sin Bin Sisters,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Blayre Turnbull (F),Emily Clark (F),Claire Thompson (D),Corinne Schroeder (G),Mae Batherson (D)
Silly Geese,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Kayle Osborne (G),Raygan Kirk (G),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Kendall Cooper (D) R
Shooting Stars,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Vanessa Upson (F)
Shockers,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Kendra Woodland (G),Michela Cava (F),Hannah Murphy (G) R,Cameron Slichk (D)
ShiftingGears,Zoe Boyd (D),Ann-Renée Desbiens (G),Anne Cherkowski (F) R,Renata Fast (D),Brianne Jenner (F),Hannah Miller (F),Carly Jackson (G),Mae Batherson (D)
"She's Gay, Marcus",Sophie Shirley (F),Laura Stacey (F),Kristin O’Neill (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Corinne Schroeder (G),Kendall Cooper (D) R
"She Shoots, She Scores",Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Jocelyne Larocque (D),Sarah Nurse (F),Danielle Serdachny (F),Abby Hustler (F) R
Sharp Shooters,Kelly Babstock (F),Marie-Philip Poulin (F),Dayle Ross (D) R,Elaine Chuli (G),Emily Clark (F),Jennifer Gardiner (F),Mikyla Grant-Mentis (F),Mae Batherson (D)
Shanda,Jamie Lee Rattray (F),Laura Stacey (F),Kayla Vespa (F),Renata Fast (D),Brianne Jenner (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Kendall Cooper (D) R
Serrags86,Abby Newhook (F) R,Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Claire Thompson (D),Jessie Eldridge (F),Abby Hustler (F) R
Scrub Squad ,Rylind MacKinnon (D),Jessica Digirolamo (D),Maddi Wheeler (F) R,Maggie Connors (F),Emily Clark (F),Sarah Nurse (F),Carly Jackson (G),Abby Hustler (F) R
Scissor City Hockey Club,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Jessie Eldridge (F),Abby Hustler (F) R
Sceptastic,Abby Newhook (F) R,Laura Stacey (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Julia Gosling (F),Marlène Boissonnault (G)
Scarlett’s Great Girls,Abby Newhook (F) R,Marie-Philip Poulin (F),Micah Zandee-Hart (D),Daryl Watts (F),Brianne Jenner (F),Kristen Campbell (G),Jenna Buglioni (F) R,Kendall Cooper (D) R
Sask Storm ,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Abby Hustler (F) R
Sarah's Victoire,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Claire Thompson (D),Corinne Schroeder (G),Kendall Cooper (D) R
Sals team,Abby Newhook (F) R,Marie-Philip Poulin (F),Olivia Knowles (D),Natalie Spooner (F),Sarah Wozniewicz (F) R,Claire Thompson (D),Mikyla Grant-Mentis (F),Marlène Boissonnault (G)
Sally's Stars,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Abby Hustler (F) R
STARS '91,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Sophie Jaques (D),Jessie Eldridge (F),Mae Batherson (D)
SIN BIN SISTERS,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Blayre Turnbull (F),Emily Clark (F),Claire Thompson (D),Corinne Schroeder (G),Mae Batherson (D)
Rusty Ninja,Abby Newhook (F) R,Marie-Philip Poulin (F),Emmy Fecteau (F),Natalie Spooner (F),Brooke Hobson (D),Sarah Nurse (F),Megan Carter (D),Marlène Boissonnault (G)
